# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2932
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2932
DATA ascii
1.38952637 0.46362635 -1.59486413
1.28880644 0.61132216 -1.60403764
1.34268773 0.52083319 -1.74807405
1.14419675 0.78357625 -1.72447455
1.20576882 0.71725929 -1.76451552
1.10763860 0.81318241 -1.95820487
2.03254771 1.00504851 0.06413715
1.95602357 0.79042840 -0.27435431
2.02941108 1.04515171 0.11848660
1.83046114 0.91218776 -0.20980622
1.79819512 0.90677768 -0.24327335
1.67092860 0.88928109 -0.37039420
1.68710613 0.70663095 -0.62689203
1.66425431 0.84711933 -0.44085503
1.64900541 0.69537550 -0.68780738
1.51311362 0.88156462 -0.57925171
1.44701684 0.90132177 -0.63565773
1.51638985 0.69450605 -0.84906507
1.51237535 0.58792317 -1.02366197
1.30181611 0.77780074 -1.11583018
1.29231310 0.79549724 -1.09835553
1.15143585 0.82521820 -1.35034108
1.09644961 0.89387792 -1.30602002
1.25354135 0.85597062 -1.04182804
1.01216626 0.93239415 -1.70653415
1.11602116 0.82474983 -1.57996094
1.06721413 0.86937058 -1.71317506
0.84532678 1.07314157 -1.78419781
0.96956223 0.97662032 -1.74685788
0.96059775 1.00163484 -1.42824173
1.91576016 1.07429993 0.09061258
1.68936443 1.17151856 0.11499772
1.48462558 1.14827466 -0.11143938
1.51344991 1.07119405 -0.21667379
1.62934709 1.14333999 0.01438323
1.44454098 0.96243250 -0.51397854
1.43199480 1.06745744 -0.31257898
1.47256112 0.99787301 -0.40615875
1.14104688 1.14287794 -0.54520524
1.24873757 1.00620759 -0.67660725
1.28495312 1.12878501 -0.37760681
1.13696301 0.95540041 -1.05093694
1.11176264 1.02031076 -0.91244549
1.20921659 0.97624213 -0.81011277
0.91601586 1.07467556 -1.19297731
1.00748086 1.02406061 -1.15265703
0.76455390 1.15340114 -1.62006736
0.83733130 1.09779799 -1.53676748
0.80836356 1.15028954 -1.28392041
0.58296543 1.29111433 -1.46895146
0.71611559 1.18922246 -1.66480851
1.35964978 1.35034359 0.20240925
1.56393003 1.28583074 0.22896713
1.45586514 1.34060538 0.25927550
1.09045970 1.36771560 -0.02019760
1.15008736 1.37907445 0.06675714
1.10878897 1.26392615 -0.26239079
1.11497617 1.30886924 -0.13117199
0.84178770 1.34481037 -0.41820094
0.93447733 1.31161439 -0.37581414
0.97547764 1.16645420 -0.77060002
0.96763921 1.18974411 -0.69796753
0.74509275 1.29135931 -0.81594223
0.71908182 1.32185054 -0.75122887
0.52718866 1.37780178 -1.06822550
0.63623542 1.28019047 -1.24088430
0.59945238 1.30200624 -1.27105749
0.43645263 1.42757177 -1.08174860
0.36189485 1.46447146 -1.11753821
1.07897556 1.43466580 0.12993787
0.84192979 1.53778231 0.15160641
