# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2959
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2959
DATA ascii
-2.94502139 3.08329153 2.42680359
-2.65869498 2.76476288 2.60549235
-3.00152683 3.18807316 2.31690240
-2.63206100 2.85224962 2.45731544
-2.76295662 3.06817937 2.26440191
-2.56696296 2.91570067 2.31940365
-2.76522708 3.04281902 2.30089760
-2.77534819 3.04538131 2.30532813
-2.79743433 3.08950686 2.26224899
-2.21388865 2.52454400 2.65940809
-2.29537559 2.50494719 2.73637104
-2.24895644 2.51540971 2.69356346
-2.55247092 2.65216255 2.67060113
-2.42745018 2.60216999 2.67070460
-2.28623581 2.60985017 2.57612491
-2.25155306 2.72230244 2.40234566
-2.15766954 2.59613204 2.53171825
-2.31301880 2.72242260 2.43059087
-2.35324097 2.73889637 2.42662406
-2.30970192 2.73172569 2.41631913
-1.98500860 2.57284474 2.48380136
-1.94956446 2.44438696 2.66361856
-1.78508127 2.32976961 2.82865024
-1.95367539 2.36264300 2.79491591
-1.72563970 2.33655024 2.81113982
-1.70217907 2.34225821 2.79937625
-1.82241201 2.48683643 2.58143449
-1.74149287 2.46440959 2.60618281
-1.64022028 2.50437498 2.50991249
-1.58729291 2.47253919 2.55355740
-1.61568809 2.40545964 2.68012428
-1.46900177 2.39749479 2.65803981
-1.51786554 2.29509354 2.85261679
-1.13505828 2.30733013 2.90139675
-1.13983047 2.31257558 2.88827252
-1.34217930 2.33510160 2.77968812
-1.32633376 2.40485048 2.62795138
-1.17702043 2.37063575 2.74749637
-1.14817202 2.38600135 2.72135139
-1.33546829 2.42146444 2.58810186
-0.83363903 2.40405107 2.66574144
-0.95090860 2.35425401 2.83321238
-0.95123005 2.38249803 2.73811889
-1.07243681 2.39762640 2.68698716
-0.84859568 2.36384869 2.80107379
-0.78017467 2.38684821 2.72374797
-2.71085787 3.16196370 1.98066640
-2.84622145 3.16260195 2.17440367
-2.79521918 3.25750804 1.88602090
-2.87969518 3.20990658 2.11558509
-2.80620766 3.16364551 2.11434460
-2.70560741 3.08677697 2.14329886
-2.67470646 3.13849330 1.98595870
-2.60138464 3.10690188 1.97612000
-2.57760501 3.01656842 2.12292743
-2.66888785 3.12299085 2.00951719
-2.71005797 3.21708226 1.87203848
-2.61375117 3.09818530 2.00408435
-2.28425694 2.88196325 2.11667752
-2.37081456 2.81295609 2.32780266
-2.12280631 2.69043279 2.38198423
-2.29664874 2.80010080 2.29505301
-2.32016420 2.92190409 2.06313896
-2.39065981 2.87183690 2.22246122
-1.83224022 2.69100928 2.17702866
-1.92315960 2.64043021 2.33296275
-2.08511782 2.77778172 2.17624044
-2.22830462 2.90488815 2.02684307
-1.90128934 2.66584587 2.27014399
-1.97478509 2.67808223 2.29471588
-1.78278780 2.65618181 2.23373413
-1.86654949 2.63713026 2.30376911
-1.79221308 2.62206244 2.31087422
-1.41551900 2.47496295 2.50011396
-1.65791488 2.53236389 2.45903635
-1.67921281 2.53901696 2.45194054
-1.41861403 2.57521534 2.26151323
-1.48672616 2.62566757 2.17391634
-1.34602773 2.48200989 2.45102859
-1.33627415 2.58491135 2.19505358
-1.36203933 2.48673868 2.44782448
-1.69656718 2.69681239 2.10956717
-1.17594731 2.48046041 2.43960738
-1.07965863 2.42265415 2.60292196
-1.23313141 2.45764565 2.50058222
-1.15812337 2.48958707 2.41503119
-1.21602190 2.50082850 2.38183856
-0.99030161 2.49114585 2.41686058
-0.99547118 2.42700243 2.59398174
-0.90948033 2.50692344 2.32425189
-0.71604341 2.43325090 2.55456972
-1.14515293 2.54987168 2.24056411
-0.78572965 2.50572419 2.27836919
-0.85309851 2.51159453 2.28139901
-0.88139325 2.48386908 2.40967631
-2.33746600 2.99600792 1.92714393
-2.43088293 3.07382941 1.85298729
-2.42453766 3.07858849 1.83068967
-2.60478592 3.24102712 1.65418172
-2.51796317 3.14326954 1.79230297
-2.52107072 3.11508584 1.87357485
-2.31118059 3.02169847 1.82671154
-2.40162802 3.14148355 1.62903917
-2.25632548 3.03317904 1.73373723
-2.22167110 3.01205921 1.74678874
-2.10346675 2.89433932 1.94683814
-2.14480090 2.95569754 1.81597233
-1.98824275 2.83114982 2.00313973
-1.92990541 2.82810736 1.94883788
-1.98116732 2.90503716 1.78415442
-1.98852229 2.86660457 1.90202880
-1.79666436 2.88400531 1.66469634
-1.80504787 2.76841140 1.98765004
-1.91206539 2.91046953 1.70273948
-1.88190210 2.81935024 1.92221653
-1.41370320 2.66726708 2.00938654
-1.44670928 2.67025399 2.02313304
-1.64511776 2.81058025 1.73582315
-1.52621031 2.71938443 1.92946553
-1.56648159 2.75003767 1.86458671
-1.66632700 2.77591991 1.85524070
-1.33912301 2.72097254 1.76810157
-1.39555812 2.71238661 1.84596407
-1.40592802 2.68870044 1.93380857
-1.28057837 2.60840607 2.09137654
-1.43626428 2.75969338 1.72417283
-0.80290914 2.52769661 2.20350051
-1.19588089 2.67505288 1.81934249
-1.23640203 2.63529587 1.96697605
-1.16957152 2.65345979 1.88502276
-0.96185511 2.54197216 2.20256615
-1.00011623 2.58780789 2.05786705
-0.91779518 2.60195732 1.95832157
-1.05292404 2.63839221 1.89185584
-0.89818770 2.60206890 1.94215071
-0.86500442 2.56560183 2.09007645
-0.92932451 2.62859583 1.84012675
-2.18752599 3.15378642 1.30934608
-2.23948264 3.16207170 1.35907888
-2.18822742 3.10262275 1.46353078
-2.20914412 3.17185259 1.28627145
-2.23274136 3.12078905 1.47300434
-1.96918070 3.04837203 1.31484628
-2.05812573 3.05086637 1.43246984
-2.04081726 3.04389620 1.42908132
-1.84527361 2.98500919 1.35693812
-1.82851934 2.95353270 1.45151103
-1.85803831 2.92822433 1.58766437
-1.81877351 2.99836683 1.26980853
-1.99322927 3.01234937 1.46133089
-1.66328776 2.84526467 1.62741923
-1.72725701 2.92546082 1.41642129
-1.66291368 2.90522432 1.40457022
-1.55418825 2.81649184 1.62304914
-1.39668906 2.77680922 1.61021769
-1.32201231 2.72930264 1.72167993
-1.35138392 2.75904202 1.63255131
-1.59767067 2.83302069 1.60376000
-1.29007614 2.76885724 1.51637328
-1.26557720 2.73840261 1.61702287
-1.26192009 2.71932125 1.69459069
-1.15483940 2.76050162 1.44446445
-1.19845045 2.69400263 1.74459541
-0.98394191 2.67048573 1.69791961
-1.23432314 2.77124834 1.45347071
-0.82031757 2.62036872 1.79352343
-1.12347829 2.75386047 1.44916523
-1.11058950 2.75250363 1.44501066
-0.87955391 2.65281057 1.69949865
-1.86608994 3.09917140 1.03384006
-1.76144147 3.02334547 1.11264360
-1.67663717 3.07395148 0.87193304
-1.78430462 3.02986336 1.12273932
-1.58079016 3.01451802 0.89314675
-1.66219175 2.95408201 1.21725225
-1.55407274 2.97068501 0.97644830
-1.71914768 2.99406290 1.13826823
-1.50593030 2.97508049 0.87577623
-1.45640540 2.93608356 0.93394303
-1.36345017 2.84082985 1.29524827
-1.42306149 2.86466241 1.26140022
-1.38418996 2.91657043 0.95351243
-1.31072867 2.87867451 1.05872297
-1.14876246 2.79695511 1.28149629
-1.13173079 2.79679513 1.26919520
-1.20786822 2.88011622 1.01218784
-1.16629303 2.84125638 1.10763085
-1.36262679 2.99213624 -0.31609347
-1.41384196 2.96653390 -0.19899371
-1.40729380 2.93331265 -0.30697227
-1.37115455 2.92898083 -0.28121784
-1.39025819 2.94538212 -0.51034021
-1.77938843 1.67667150 -3.29410291
-1.91540051 1.68841350 -3.24555016
-2.08977509 1.57521236 -3.30658984
-1.76857162 1.74777615 -3.22711444
-1.57747769 1.80263662 -3.22365355
-1.58290625 1.78825939 -3.23550296
-2.35729599 1.41647065 -3.38654971
-2.44417953 1.36584795 -3.41190457
-2.28680205 1.62027037 -3.24493289
-2.42593145 1.46116686 -3.34276342
-2.47893190 1.48191988 -3.32620525
-2.58952832 1.32183301 -3.42620945
-2.33172822 1.64327121 -3.22731853
-2.24653769 1.62039900 -3.24699688
-2.50265145 1.54810619 -3.28702188
-2.62033248 1.40448821 -3.39092278
-2.52025008 1.51541936 -3.30762577
-2.61632848 1.71024668 -3.23655462
-2.49694610 1.78900814 -3.16154170
-2.66414356 1.93896139 -3.12328887
-2.53951192 1.73264933 -3.20385790
-2.70756388 1.92887223 -3.14455223
-2.76614308 1.59647202 -3.34652019
-2.85470462 1.91867352 -3.21162462
-2.89286375 2.14918876 -3.10455990
-2.91336441 2.14587331 -3.11491609
-2.83591866 2.18977165 -3.06050324
-2.93305707 2.36002445 -3.01213050
-2.98309231 2.42162585 -3.00062871
-1.29429412 1.97580791 -3.06418943
-1.27282929 1.97114813 -3.09132671
-1.12977087 2.03505254 -3.03400159
-1.62215090 1.90113533 -3.06674314
-1.31020784 2.01597333 -3.00337815
-1.29489851 2.00853133 -3.01638317
-1.62791634 1.88087237 -3.09026718
-1.59049642 1.88504112 -3.09450340
-1.83900285 1.80516708 -3.13067603
-1.28526056 1.98592830 -3.04664922
-1.99910331 1.76549017 -3.14729738
-2.02929091 1.78324509 -3.12713766
-1.94719326 1.78745294 -3.12835217
-1.96108258 2.01734018 -2.91375875
-1.80548251 1.99484074 -2.93295884
-2.32421756 1.77636766 -3.12094355
-2.20615673 1.96390641 -2.95982623
-2.16994405 1.89884555 -3.01566195
-1.71132231 2.00613999 -2.92318487
